13|Abushiri|-267.585|326.475|LC|Protectorate of Donegal, Coventry Province
37|Afleir|-51.281|-2.977|A|
43|Aigle|-234.767|-19.069|A|
55|Albion|-284.426|143.518|LC|Protectorate of Donegal, Alarion Province
95|Alta|-191.246|-218.099|FWL|Principality of Regulus
116|Ambrose|-226.176|427.523|I|
121|Amu Darya|33.408|-338.234|A|
147|Antias|-33.238|-385.416|A|
151|Aodh|-40.211|-195.324|FWL|Federation of Oriente
152|Aomen|-18.813|-323.119|CC|Andurien Commonality, Region 3
162|Aquileia|-88.444|-27.883|LC|Federation of Skye, Rahneshire
175|Arlanda|-300.534|380.651|I|
199|Athna|-27.056|-354.266|CC|Andurien Commonality, Region 3
209|August|-124.018|-115.591|FWL|Marik Commonwealth
224|Awyron|-265.18|411.661|I|
252|Banfora|-98.055|-349.684|FWL|Duchy of Andurien
280|Bayis|-254.159|166.531|LC|Protectorate of Donegal, Coventry Province
313|Beta Regulus|-201.451|276.407|LC|Protectorate of Donegal, Coventry Province
324|Biegga|-189.757|382.354|LC|Protectorate of Donegal, Coventry Province
347|Blue Sava|-33.31|-66.814|FWL|
351|Boara|-310.769|481.44|A|
358|Bogrib|-139.179|-305.873|FWL|
360|Bonaire|-44.042|-96.418|FWL|Marik Commonwealth
371|Borka|-56.598|-325.638|FWL|Duchy of Andurien
389|Brest|30.759|-303.5|CC|Sian Commonality, Region 8
417|Buenos Aires|18.092|-341.994|CC|Sian Commonality, Region 8
418|Burnt Rock|-328.509|191.528|A|
435|Calchedon|-366.936|-96.04|FWL|
439|Caledea|-283.323|215.575|LC|Protectorate of Donegal, Coventry Province
473|Cardff|-377.873|-5.998|LC|Protectorate of Donegal, Alarion Province
495|Catroxx|-90.857|-36.364|A|
507|Cerignola|-328.01|-286.324|A|
530|Chengdu|-29.575|-170.358|CC|Capella Commonality, Region 1
532|Chennai|10.046|-374.191|CC|Sian Commonality, Region 8
561|Circinus|-388.555|-66.824|CF|Faction Capital
585|Conley's Patch|-220.211|205.816|LC|Protectorate of Donegal, Coventry Province
619|Cree|-189.457|-247.497|FWL|Regulan Free States
650|Dalian|-57.584|-267.289|FWL|Duchy of Andurien
660|Dansur|-74.923|-315.105|A|
702|Deweidewd|-107.279|283.248|A|
705|Diamantina|-314.895|-99.56|FWL|
716|Dì-fang|-9.65|-297.47|CC|Sian Commonality, Region 3
718|Dili|-55|-299.3|A|
778|Eion|-357.161|-122.853|A|
785|Elbing|-65.529|-70.625|FWL|Marik Commonwealth
820|Eschenberg|-149.407|181.546|LC|Protectorate of Donegal, District of Donegal
